id,created_at,name,category,serial_number,daily_price,purchase_price,purchase_date,status,notes,updated_at,article,image_url,maintenance_interval_days,work_days_count,last_maintenance_date,user_id,total_work_days
414a09a2-dde8-40af-8ae0-aa0f1b5e7058,2026-02-07 08:29:19.688+00,Бензокоса Эхо 22,gas_tools,111111,1000,23000,1769385600000,available,,2026-06-18 07:48:48.9+00,Gt-01,/uploads/1781768927816_1dcr5o.webp,30,3,2026-05-02 05:26:55.881+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,3
f4697577-90bf-4091-b3c7-5e7d98501a8b,2026-02-23 08:47:39.486+00,бензопила калибр 228,gas_tools,555555,500,12100,1769385600000,available,шляпа,2026-06-18 08:05:59.828+00,Gt-03,/uploads/1781769957683_owzx5.webp,30,14,null,eab0c5cb-80fc-499b-8497-7946cac6bc08,14
7006805b-2fb4-4b95-8b47-6e781cdb6d8f,2026-02-24 10:57:09.814+00,бензорез штиль,gas_tools," 111111",1500,40000,1769385600000,available,,2026-02-24 10:57:09.814+00,Gt-05,/uploads/1781689015254_3fzdq8.webp,30,7,null,eab0c5cb-80fc-499b-8497-7946cac6bc08,7
885c65b1-8839-408f-ab35-4e16a00754b1,2026-06-08 16:21:22.933+00,Генератор IBRAIT BR 2000I,gas_tools,без номера,1000,25000,1759968000000,available,2квт,2026-06-08 17:11:24.948+00,Gt-10,/uploads/1780938671424_1193b6.png,30,1,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,1
fe114973-2e40-447a-8804-74d02ac4bf4b,2026-02-09 07:15:10.015+00,Дрель Интерскол ду-850,electric_tools,444444,500,2500,1769472000000,rented,,2026-06-18 07:52:37.487+00,Et-02,/uploads/1781769156080_ncgb4.webp,30,9,2026-06-08 07:00:59.88+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,29
181a5816-87f3-4eab-a24f-67f20dbe8732,2026-06-19 10:06:11.471+00,Электростанция бензиновая WERT G 3000,electric_tools,KM4323050100496,1000,15000,1765411200000,available,,2026-06-19 10:06:40.496+00,Et-08,/uploads/1781863597229_9cetx8.webp,30,6,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,6
b11bc852-37b9-4490-acff-3d69f6685b18,2026-03-07 09:31:39.615+00,Бензопила Чемпион 362,gas_tools,2003240808175,800,15000,1759795200000,available,,2026-07-16 13:54:28.711+00,Gt-01,/uploads/1772876069086_i8wss.jfif,30,2,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,2
c74215c7-f6ed-437e-8ed1-3b0b45dc23cb,2026-04-15 11:27:00.416+00,Бензотриммер ECHO SRM-22GES,gas_tools,30128315,1000,20000,1759449600000,available,,2026-04-15 11:30:59.555+00,Gt-08,/uploads/1776252651800_mbs1g.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
32559c5c-3e5a-4e63-bba8-f09f8d35504a,2026-06-26 14:22:16.453+00,Вибротрамбовка Champion TR72,gas_tools,1803241202649,2500,80000,1782259200000,available,,2026-06-26 14:28:01.29+00,Gt-13,/uploads/1782484032863_fa1qk.webp,30,1,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,1
4b7f2d43-7bf3-481a-a9c8-161bb4deb0b1,2026-07-26 09:36:02.768+00,УШМ 230/2100М,electric_tools,стёрт,700,10000,1759968000000,available,,2026-07-26 09:36:40.689+00,Et-12,/uploads/1785058577654_c84tce.webp,30,1,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,1
3bedd485-d825-4d4c-8539-b1b1fbef950d,2026-02-24 09:06:40.386+00,бензокоса штиль fs22,gas_tools,555555,1000,28000,1769385600000,rented,,2026-06-18 07:47:59.068+00,Gt-04,/uploads/1781768877426_8m5ok.webp,30,2,2026-05-31 08:28:30.81+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,16
21b5d93b-8f76-4190-95de-8e55d77b5e22,2026-03-06 13:07:04.38+00,Бензокоса Эхо 337,gas_tools,12354654,1000,0,null,available,null,2026-03-06 13:07:04.38+00,Gt-06,null,30,11,null,eab0c5cb-80fc-499b-8497-7946cac6bc08,11
325dc8c0-6bb1-44f2-addc-7b7b4aa7dfa0,2026-06-20 07:13:11.254+00,Бензиновый отбойный молоток TSS - GJH95,gas_tools,Y2412150415,2000,40000,1778112000000,available,null,2026-06-20 07:13:11.254+00,Gt-12,/uploads/1781939604085_0ily65.webp,30,3,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,3
9109aca1-4bf0-474b-a561-0603dcd598c6,2026-05-04 09:49:10.15+00,Перфоратор Интерскол П-38/1200ЭВ SDS max 7Дж.,electric_tools,735.002581,800,15000,1777507200000,available,"Профессиональный двухрежимный перфоратор с виброзащитой ИНТЕРСКОЛ П-38/1200ЭВ

два режима - перфоратор может выполнять бурение (сверление с ударом) и отбойные работы;
режим фиксации зубила в установленном положении Vario-Lock;
вертикальное расположение двигателя разгружает двигатель от вибрационной нагрузки;
кривошипно-шатунный механизм обеспечивает высокую энергию удара;
эффективная виброгасящая система;
электронная регулировка оборотов позволяет выбрать оптимальную мощность для работы бурами малого диаметра или осуществить аккуратное забуривание;
предохранительная муфта;
механизм быстрой замены щеток;
четырехметровый шнур питания в резиновой изоляции;",2026-05-04 09:54:53.255+00,Et-03,/uploads/1777888298076_2ctq5.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
b535b59e-1c81-4497-9959-355dfb4f5c01,2026-06-09 06:31:07.89+00,УШМ-125/700 Интерскол,electric_tools,529.144478,500,7000,1725494400000,available,,2026-06-09 06:34:01.269+00,Et-06,/uploads/1780986838562_1yjzel.webp,30,1,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,1
bf514472-eae7-4676-b9ed-4576e174ee3a,2026-07-14 13:53:38.804+00,Красный маяк 35 Вибратор для бетона,electric_tools,00720126,800,10000,1783641600000,available,"Диаметр 35  
1200 ВТ
масса 1.8 кг",2026-07-14 13:55:55.714+00,Et-09,/uploads/1784037351153_k79aqm.webp,30,1,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,1
58dc8afe-eb5b-4955-98db-88e5485e57f2,2026-07-30 14:17:06.923+00,Перфоратор Makita HR2470,electric_tools,4498752,750,15000,1754611200000,available,null,2026-07-30 14:17:06.923+00,Et-13,/uploads/1785421042535_834keg.webp,30,0,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,0
a9d61440-474b-47cb-869d-cc8c3a6fd85d,2026-03-30 14:36:29.08+00,Мотобур CHAMPION AG252,gas_tools,2202250430259,1500,25000,1774656000000,rented,,2026-07-22 12:58:51.309+00,Gt-06,/uploads/1774881411574_hmhfc.webp,30,11,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,11
54c5c34d-6c86-4cab-b53d-adc247523f02,2026-05-06 08:49:58.11+00,"Виброплита CHAMPION PC9045F ",gas_tools,1804250207088,1800,60000,1777852800000,rented,Виброплита 90 КГ мощность 15,2026-06-30 06:45:38.865+00,Gt-09,/uploads/1778057524292_91kksk.webp,30,7,2026-06-09 13:26:28.559+00,8c89f646-04f0-4fce-a9ad-ace4672cbffc,18
2ed283c4-e5b5-43e2-a407-9f078bae20b5,2026-03-24 11:27:51.193+00,Бензопила VILLARTEC SB 401,gas_tools,без серийного номера,800,14000,1746662400000,available,,2026-07-16 13:55:14.607+00,Gt-04,/uploads/1774351990396_sa4rzm.webp,30,2,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,2
9d18af4e-816d-4c86-a0d9-48df089b4cdd,2026-02-16 05:45:26.952+00,Перфоратор Макита 2450,electric_tools,555555,500,17000,1769385600000,available,Норм перф.,2026-06-18 07:53:59.381+00,Et-03,/uploads/1781769238204_bw15t.webp,30,7,2026-03-10 07:55:35.454+00,eab0c5cb-80fc-499b-8497-7946cac6bc08,39
d2430a3d-466b-41de-b76f-1f3e0ee63db9,2026-06-11 06:45:36.392+00,Виброплита CHAMPION PC6337F,gas_tools,0306250100455,1500,50000,1780876800000,available,,2026-06-11 06:46:02.134+00,Gt-11,/uploads/1781160358239_byf2r.png,30,8,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,8
e173815a-4d50-4078-8378-a26d4be4d422,2026-05-07 12:44:37.421+00,Инверторный генератор Senda SD2200,electric_tools,250516846,1000,25000,1761868800000,available,null,2026-05-07 12:44:37.421+00,Et-04,/uploads/1778158264840_ezjlid.webp,30,5,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,5
edebdb9a-255d-42dd-ab59-43175bfab221,2026-04-01 07:28:00.954+00,Мотобур CHAMPION AG364,gas_tools,0119250400976,1700,25000,1774656000000,available,,2026-07-07 10:14:23.172+00,Gt-07,/uploads/1775112098482_l01w0p.webp,30,5,null,8c89f646-04f0-4fce-a9ad-ace4672cbffc,5
